edad,trabajo,estudios,estado-civil,trabajo,posicion-familiar,etnia,sexo,ganancias_inversiones,perdidas_inversiones,horas-trabajo_semana,pais-origen,salario
39, State-gov, Bachelors, Never-married, Adm-clerical, No-en-familia, Blanco, Hombre,2174,0,40, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Marido, Blanco, Hombre,0,0,13, United-States, <=50K
38, Private, HS-grad, Divorced, Handlers-cleaners, No-en-familia, Blanco, Hombre,0,0,40, United-States, <=50K
53, Private, 11th, Married-civ-spouse, Handlers-cleaners, Marido, Negro, Hombre,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Prof-specialty, Mujer, Negro, Mujer,0,0,40, Cuba, <=50K
37, Private, Masters, Married-civ-spouse, Exec-managerial, Mujer, Blanco, Mujer,0,0,40, United-States, <=50K
49, Private, 9th, Married-spouse-absent, Other-service, No-en-familia, Negro, Mujer,0,0,16, Jamaica, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Marido, Blanco, Hombre,0,0,45, United-States, >50K
31, Private, Masters, Never-married, Prof-specialty, No-en-familia, Blanco, Mujer,14084,0,50, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Marido, Blanco, Hombre,5178,0,40, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Marido, Negro, Hombre,0,0,80, United-States, >50K
30, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Marido, Asiatico-Pacifico-Isleno, Hombre,0,0,40, India, >50K
23, Private, Bachelors, Never-married, Adm-clerical, Hijo-unico, Blanco, Mujer,0,0,30, United-States, <=50K
32, Private, Assoc-acdm, Never-married, Sales, No-en-familia, Negro, Hombre,0,0,50, United-States, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Marido, Asiatico-Pacifico-Isleno, Hombre,0,0,40, ?, >50K
34, Private, 7th-8th, Married-civ-spouse, Transport-moving, Marido, Amerindio-esquimal, Hombre,0,0,45, Mexico, <=50K
25, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Hijo-unico, Blanco, Hombre,0,0,35, United-States, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Soltero-a, Blanco, Hombre,0,0,40, United-States, <=50K
38, Private, 11th, Married-civ-spouse, Sales, Marido, Blanco, Hombre,0,0,50, United-States, <=50K
43, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Soltero-a, Blanco, Mujer,0,0,45, United-States, >50K
40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Marido, Blanco, Hombre,0,0,60, United-States, >50K
54, Private, HS-grad, Separated, Other-service, Soltero-a, Negro, Mujer,0,0,20, United-States, <=50K
35, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Marido, Negro, Hombre,0,0,40, United-States, <=50K
43, Private, 11th, Married-civ-spouse, Transport-moving, Marido, Blanco, Hombre,0,2042,40, United-States, <=50K
59, Private, HS-grad, Divorced, Tech-support, Soltero-a, Blanco, Mujer,0,0,40, United-States, <=50K
56, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Marido, Blanco, Hombre,0,0,40, United-States, >50K
19, Private, HS-grad, Never-married, Craft-repair, Hijo-unico, Blanco, Hombre,0,0,40, United-States, <=50K
54, ?, Some-college, Married-civ-spouse, ?, Marido, Asiatico-Pacifico-Isleno, Hombre,0,0,60, South, >50K
